Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
460000,1.4689411,0.21329917,0.023005147,0.24527013,0.00016374855,0.15458284,0.00027745587,31.23963133640553,0.3408256943141102,0.3408256943141102,1.0
470000,1.4696959,0.17603548,0.014834164,0.2389789,0.00016043698,0.15347897,0.000272047,53.85064935064935,0.38316129752464834,0.38316129752464834,1.0
480000,1.4721962,0.15693563,0.012009234,0.24713334,0.00015768093,0.15256028,0.00026754537,43.69166666666667,0.3814285787432885,0.3814285787432885,1.0
490000,1.4653989,0.14880675,0.01078735,0.23671518,0.00015454007,0.15151334,0.0002624153,94.30188679245283,0.4168224381369965,0.4168224381369965,1.0
500000,1.4603441,0.15950954,0.015294514,0.23054585,0.00015135112,0.15045036,0.0002572067,78.33098591549296,0.34488722375292974,0.34488722375292974,1.0
510000,1.4547447,0.22415213,0.014706734,0.24128026,0.00014851309,0.14950435,0.00025257128,79.20547945205479,0.4477631669785631,0.4477631669785631,1.0
520000,1.4551792,0.16963325,0.016015762,0.24540338,0.00014539657,0.1484655,0.00024748096,90.575,0.427731100188083,0.427731100188083,1.0
530000,1.4454042,0.17222334,0.014873457,0.24752866,0.000142368,0.14745598,0.00024253431,75.61832061068702,0.3917164256963045,0.3917164256963045,1.0
540000,1.4481449,0.2544176,0.020071946,0.2430035,0.00013945084,0.1464836,0.00023776962,49.87567567567567,0.4553672399813846,0.4553672399813846,1.0
550000,1.4447678,0.27643073,0.021571036,0.24597718,0.00013649778,0.14549923,0.00023294627,42.517073170731706,0.4437735934197059,0.4437735934197059,1.0
560000,1.4318258,0.24732515,0.021393726,0.24309774,0.00013351564,0.1445052,0.00022807543,48.42986425339367,0.45836284043745396,0.45836284043745396,1.0
570000,1.4241042,0.21139659,0.009008113,0.24077177,0.00013054203,0.14351399,0.00022321855,46.75,0.4879194724079747,0.4879194724079747,1.0
580000,1.419669,0.17507476,0.0065335073,0.23492801,0.00012747492,0.14249162,0.00021820897,80.50434782608696,0.45844037613805827,0.45844037613805827,1.0
590000,1.4159644,0.18619452,0.011920123,0.24247219,0.00012452142,0.1415071,0.0002133849,74.57009345794393,0.4693043564486763,0.4693043564486763,1.0
600000,1.4271504,0.22420712,0.013638205,0.24267289,0.0001214902,0.14049672,0.00020843389,53.37579617834395,0.45875817852618256,0.45875817852618256,1.0
610000,1.4340353,0.18153031,0.011657847,0.2293793,0.00011858261,0.13952753,0.0002036848,78.75,0.5442045561080291,0.5442045561080291,1.0
620000,1.4370304,0.15473859,0.013714112,0.2371067,0.00011546014,0.13848668,0.00019858479,90.87755102040816,0.3836781685294091,0.3836781685294091,1.0
630000,1.4437479,0.26683804,0.013954487,0.2346414,0.00011246298,0.13748762,0.00019368941,65.75193798449612,0.5274637779760836,0.5274637779760836,1.0
640000,1.4525443,0.3276584,0.017657438,0.2439988,0.000109362736,0.13645421,0.0001886257,60.48351648351648,0.6037096892213148,0.6037096892213148,1.0
650000,1.45033,0.36408138,0.016908692,0.24512917,0.00010638682,0.13546222,0.00018376502,44.09139784946237,0.6030851183062855,0.6030851183062855,1.0
660000,1.4431849,0.28832683,0.011899193,0.24298254,0.000103390295,0.1344634,0.0001788707,32.7037037037037,0.5818125109537504,0.5818125109537504,1.0
670000,1.4373724,0.31748077,0.012719952,0.23865385,0.00010060468,0.13353485,0.00017432084,58.83870967741935,0.6025974146731488,0.6025974146731488,1.0
680000,1.4379361,0.29936373,0.0163285,0.22613958,9.7575736e-05,0.1325252,0.00016937358,42.027027027027025,0.5913907402003837,0.5913907402003837,1.0
690000,1.4376028,0.31500036,0.016144,0.23464566,9.44969e-05,0.13149893,0.00016434483,44.6,0.6025000114161043,0.6025000114161043,1.0
700000,1.4356267,0.30123866,0.014817046,0.23154603,9.1508715e-05,0.1305029,0.0001594641,83.05,0.5883333445216219,0.5883333445216219,1.0
710000,1.4373468,0.35083455,0.01734732,0.2418597,8.85247e-05,0.12950821,0.0001545902,99.21052631578948,0.6361403635414372,0.6361403635414372,1.0
720000,1.4347961,0.3870439,0.018242775,0.23459648,8.546352e-05,0.12848781,0.0001495903,88.13684210526316,0.6578947504492183,0.6578947504492183,1.0
730000,1.4403957,0.2957509,0.014945089,0.23517671,8.2647304e-05,0.12754907,0.00014499048,49.52427184466019,0.6489622768471545,0.6489622768471545,1.0
